st_gene_id	gene_id	gene_symbol	fpkm_A11A	fpkm_A12A	fpkm_A13A	fpkm_A15A	fpkm_A16A	fpkm_A17A	fpkm_A18A	fpkm_A19A	fpkm_A1A	fpkm_A20A	fpkm_A2A	fpkm_A3A	fpkm_A4A	fpkm_A5A	fpkm_A6A	fpkm_A7A	fpkm_A9A	fpkm_B10A	fpkm_B12A	fpkm_B13A	fpkm_B14A	fpkm_B15A	fpkm_B16A	fpkm_B18A	fpkm_B19A	fpkm_B1A	fpkm_B20A	fpkm_B3A	fpkm_B4A	fpkm_B5A	fpkm_B6A	fpkm_B7A
6614	6614	SIGLEC1	0.75	0.38	0.05	0.22	1.69	0.89	0.16	0.65	0.08	0.39	0.19	0.52	0.09	0.48	0.32	0.9	0.21	1.57	0.31	0.85	2.33	0.51	3.42	2.61	0.15	1.05	1.38	1.78	1.13	2.39	0.69	0.55
7301	7301	TYRO3	0.78	2.01	1.01	1.65	0.84	1.27	1.6	1.13	2.17	1.29	1.16	1.49	1.21	0.93	0.63	1.54	1.25	0.58	0.79	1.3	1.65	0.84	1.12	0.87	0.86	1.06	1.38	0.44	1.07	1.36	0.3	0.46
9515	9515	STXBP5L	11.37	5.98	13.33	12.4	19.31	8.52	9.32	8.96	8.14	16.1	7.04	10.5	13.99	5.83	6.3	9.52	9.59	15.28	11.69	26.01	20	15.89	13.02	13.83	12.9	19.04	15.4	13	12.62	16.38	14.48	10.87
3958	3958	LGALS3	3.44	3.99	2.89	4.29	13.61	12.05	3.23	5.55	25.34	4.53	5.16	0.97	2.9	2.21	8	3.96	1.79	1.45	2.87	3.09	3.41	5.57	24.39	7.16	1.58	0.88	4.68	11.22	6.37	2.2	7.3	1.44
254251	254251	LCORL	6.24	3.5	1.8	5.75	5.85	7.28	5.82	10.09	5.31	6.8	6.92	4.81	5.7	2.98	3.52	2.83	3.64	4.36	3.33	3.93	2.41	3.44	4.05	4.83	3.1	3.37	5.17	2.88	5.34	4.17	2.31	3.36
55571	55571	CNOT11	12.61	12.65	14.08	17.5	17.02	15.61	14.17	17.82	16.93	12.99	13.63	12.05	16.26	12.78	13.03	13.29	12.83	15.75	18.88	14.11	11	14.91	14.07	14.41	14.59	12.4	16.29	17.32	14.66	15.2	17.27	18.24
2192	2192	FBLN1	1.25	6.52	1.21	1.02	1.95	16.12	0.91	1.76	2.15	2.51	2.48	1.7	1.08	6.64	0.74	6.54	3.82	2.26	0.76	1.69	2.49	0.95	30.38	1.67	0.77	1.26	5.56	0.67	2.12	0.97	0.49	1.4
56913	56913	C1GALT1	11.67	10.34	14.76	14.37	13.31	10.73	8.84	13.49	20.22	10.37	4.44	5.36	18.27	6.71	6.09	9.3	5.74	6.31	4	9.18	4.82	7.78	6.42	7.27	8.01	7.38	6.02	8.64	5.13	6.74	8.16	5.19
333	333	APLP1	285.03	343.2	363.19	367.43	160.49	325.15	478.42	329.33	427.47	352.42	343.52	415.15	556.45	462.14	281.45	335.63	474.31	314.55	558.03	311.82	334.32	278.87	311.68	431.25	406.36	311	342.78	285.01	294.16	354.59	231.42	210.09
6944	6944	VPS72	30.9	31.29	28.76	32.32	20.98	31.16	30.73	24.92	33.78	28.55	30.62	28.38	30.1	34.19	40.46	31.96	29.32	28.44	35.01	23.51	17.54	30.04	21.61	30.14	24.47	22.96	25.44	35.03	20.11	24.33	36.62	33.82
64852	64852	TUT1	9.3	13.04	7.34	10.4	8.44	9.6	11.21	10.92	7.71	10.3	9.2	13.32	9.2	10.26	5.86	11.34	13.2	5.44	14.65	10.93	4.77	8.21	11.87	11.48	10.28	12.33	12.88	6.16	11.52	12.03	4.4	3.01
6525	6525	SMTN	1.75	3.82	0.28	0.8	2.05	5.48	1.79	2.33	0.61	2.49	4.48	0.72	0.49	5.59	0.53	4.29	0.81	1.48	0.88	1.74	5.65	0.62	6.97	2.2	0.67	1.04	3.84	0.47	3.29	1.9	0.02	0.2
29113	29113	C6orf15	0.25	0.22	0	0	0	1.42	0.21	0	0.66	0.22	1.53	0.05	0.05	0	0	0	0.26	0	0.05	0	0	0.53	0	0	0.1	0.05	0.41	0.31	0.16	0.05	0	0
388555	388555	IGFL3	0	0	0.09	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0.02	0.09	0.09	0	0.19	0	0.09	0.09
143884	143884	CWF19L2	9.26	8.1	6.71	6.58	9.91	6.08	6.41	6.94	6.13	6.24	7.31	9.07	10.38	9.4	6.62	9.09	7.55	3.52	13.26	11.02	4.77	8.1	8.01	7.82	8.88	9.17	10.45	7.56	9.47	9.44	6.11	4.32
80028	80028	FBXL18	4.13	6.44	2.94	5.95	4.78	4.89	6.07	6.59	3.18	5.62	4.87	6.55	5.42	4.57	2.03	6.44	5.65	3.85	6.8	5.66	8.69	3.24	5.66	4.45	5	5.57	5.07	2.72	5.14	7.16	1.73	1.97
7483	7483	WNT9A	0.53	0.35	0.21	0.19	0.29	0.35	0.41	0.91	0.35	0.53	0.33	0.17	0.3	0.3	0.08	0.17	0.15	7.96	3.72	1.72	4.45	3.99	3.22	4.12	2.87	4.48	4.53	3.21	3.71	6.72	1.34	3.36
391123	391123	VSIG8	0.2	0.38	0.13	0.16	0.19	0.15	0.5	0.37	0.6	0.16	0.33	0.3	0.23	0.04	0.27	0.17	0.43	0.06	0.09	0.29	0.21	0.09	0.16	0.12	0.48	0.23	0.38	0.2	0.03	0.39	0.4	0.12
25961	25961	NUDT13	0.79	1.32	0.89	1.76	1.27	1.81	1.53	1.92	1.05	1.1	1.97	1.74	2.01	1.83	0.69	0.95	1.5	2.23	2.04	1.82	4.7	1.58	1.02	2.43	2.28	2.33	2.62	3.52	2.04	1.76	0.95	1.19
50717	50717	DCAF8	60.57	62.7	46.94	59.75	53.06	57.55	55.5	64.4	46.09	58.92	55.26	68.35	56.53	55.92	29.77	55.57	66.35	62.97	57.73	63.59	61.1	51.99	56.73	60.64	58.18	62.72	66.81	44.77	57.25	64.86	29.28	34.34
54801	54801	HAUS6	4.84	6.35	3.27	4.64	4.91	4.69	4.52	4.59	3.53	4.86	5.51	4.51	4.16	4.07	2.4	3.78	4.3	3.84	2.62	4.45	4.01	3.07	4.41	4.09	3.63	4.74	4.23	3.98	4.73	4.33	2.68	3.83
51702	51702	PADI3	0	0	0	0	0.06	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0	0.04	0.02	0	0	0.02	0	0	0	0	0	0
26050	26050	SLITRK5	0.06	0.01	0	0.04	0	0.07	0.03	0	0.23	0.14	0.03	0.07	0.05	0.02	0	0.03	0.09	0.01	0.18	0.07	0.09	0.04	0.04	0.14	0.01	0.06	0.01	0.01	0.04	0.01	0	0
1582	1582	CYP8B1	0.12	0.27	0.29	0.26	0.37	0.36	0.31	0.33	0.25	0.3	0.17	0.33	0.25	0.4	0.1	0.23	0.58	0.25	0.34	0.39	0.37	0.2	0.26	0.31	0.34	0.4	0.34	0.05	0.54	0.35	0.18	0.13
55289	55289	ACOXL	1.14	1.25	1.28	1.28	1.18	1.08	1.04	1.07	1.13	1.02	0.8	0.78	0.71	1.02	0.46	1.03	1.19	0.76	1.6	1.5	1.19	1.17	2.04	1.01	1.77	1.33	1.87	1.44	1.15	1.51	0.42	0.37
51562	51562	MBIP	16.86	16.49	22.69	15.4	17.36	23.99	17.93	19.7	20.89	19.21	19.92	17.72	22.34	16.44	17.52	14.59	23.19	27.37	25.18	29.07	16.16	27.74	12.04	26.31	23.83	14.41	28.53	51.02	18.3	14.61	21.4	20.18
100534592	100534592	URGCP-MRPS24	1.29	0	0	0.34	0	0	0.51	1	0.48	0.79	0.34	1.61	0.41	0.39	0.62	1.46	0	0.58	0.28	0.76	0.68	0	0.93	0	0.76	0.47	1.15	0.81	0.38	0.52	1.07	1.03
11182	11182	SLC2A6	2.83	1.93	3.57	2.81	1.13	3.18	3.6	3.67	4.41	3.77	2.9	4.98	2.33	3.71	1.79	4.24	3.66	3.52	3.43	3.36	2.34	1.73	1.7	4.53	2.64	1.24	3.45	3	3.84	4.16	2.23	1.58
64374	64374	SIL1	17.76	19.25	40.18	27.85	40.95	20.16	22.8	24.29	41.25	16.57	18.98	17.2	31.77	26.1	31.23	24.52	20.37	31.46	41.1	22.65	21.56	26.41	32.79	28.73	30.24	27.85	27.12	39.62	24.58	24.28	44.98	35.91
112268347	112268347	LOC112268347	0.05	0.06	0.03	0	0.09	0.26	0	0.06	0.05	0.05	0	0.06	0.17	0	0.04	0.05	0.06	0.06	0.06	0.05	0.41	0.08	0.22	0.25	0	0.05	0.15	0.1	0.08	0.16	0.02	0.05
79882	79882	ZC3H14	26.18	31.99	17.6	29.38	23.56	24.75	26.97	26.99	18.9	24.98	25.9	25.7	23.83	22.31	12.54	20.74	23.38	19.66	18.28	27.21	22.3	24.02	21.52	23.35	23.1	28.12	27.49	18.74	24.26	31.06	14.52	13.83
9644	9644	SH3PXD2A	1.02	4.24	1.66	1.76	2.83	2.6	2.63	1.44	2.03	1.85	1.7	2.33	1.44	2.03	0.84	2.56	2.72	0.75	2.37	2.14	2.8	1.97	3.38	2.01	0.73	1.53	2.77	1.04	1.25	1.17	0.12	0.26
1238	1238	ACKR2	0.58	0.52	0.29	0.79	0.97	0.81	0.63	0.97	0.58	0.54	0.72	0.77	0.7	0.48	0.41	0.58	1.04	0.51	0.77	0.76	0.78	0.39	0.92	0.75	0.76	0.95	1.19	0.34	0.91	0.9	0.33	0.44
1559	1559	CYP2C9	0.25	0.51	0.34	0.34	0.53	0.13	0.37	0.6	0.27	0.46	0.2	0.26	0.57	0.58	0.23	0.48	0.74	0.17	0.18	0.54	0.64	0.25	0.47	0.24	0.22	0.17	0.52	0.04	0.35	0.5	0.07	0.16
91942	91942	NDUFAF2	22.26	20.45	45.33	15	19.08	30.16	19.35	16.02	38.27	20.47	30.29	14.3	32.95	16.43	78.37	25	23.4	15.97	20.43	10.71	5.57	28.07	14.54	19.4	18.23	9.8	12.26	33.39	11.48	11.25	47.84	38.92
55652	55652	SLC48A1	14.29	16.44	19.13	12.56	19.75	12.09	14.45	12.51	14.7	13.57	13.4	16.16	16.35	15.39	13.28	17.18	15.27	18.37	16.19	19.58	14.69	23.61	32.86	12.71	17.81	14.87	15.01	8.91	22.54	16.91	17.81	8.13
7157	7157	TP53	2.99	10.36	3.1	4.24	5.53	4.42	5.68	4.4	4.26	3.41	3.04	4.97	3.63	7.59	2.48	5.06	4.35	4.57	4.04	2.97	2.59	2.63	5.66	5.15	3.82	4.08	5.02	2.25	4.24	4.37	1.45	5.36
55659	55659	ZNF416	3.91	4.87	3.25	5.25	3.25	3.91	4.13	3.92	3.92	3.67	3.79	5.14	3.31	4.15	3.05	3.28	3.62	4.06	3.88	3.83	2.7	4.18	2.59	3.85	2.88	3.12	3.59	3.81	3.7	3.87	3.97	5.89
5027	5027	P2RX7	0.78	1.01	1.04	0.81	1.36	1.43	0.98	0.89	1.05	0.84	0.79	1.24	0.73	0.45	0.77	1.08	1.94	0.65	0.7	2.08	1.43	0.66	1.6	1.12	0.7	1.34	1.49	0.4	2.04	1.01	0.34	0.62
729330	729330	OC90	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0.03	0	0
85456	85456	TNKS1BP1	10.97	20.82	5.48	15.5	19.78	12.25	18.78	20.15	6.34	14.95	14.22	21.07	12.8	14.65	4.08	17.12	15.99	10.25	26.83	35.6	23.48	11.28	38	17.61	35.12	31.86	27.82	9.99	18.03	40.61	4.11	4.27
6491	6491	STIL	1.01	1.64	0.57	1.4	1.27	0.95	1.19	1.06	0.7	1.1	1.18	1.24	1.05	1.53	0.93	1.06	1.26	1.23	0.32	0.92	1.1	0.82	1.19	1.62	1	1.03	1.11	0.68	1.04	1.33	0.51	1
1937	1937	EEF1G	467.87	672.3	799.66	484.03	319.85	467.96	531.8	303.3	970.49	472.91	517.73	596.47	582.28	703.78	1436.75	576.41	457.42	363.02	641.38	423.8	152.44	798.79	545.22	527.84	589.1	335.3	396.47	1007.67	336.27	308.71	1544.37	994.68
3809	3809	KIR2DS4	0.09	0.04	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0.11	0	0	0.13	0	0	0.71	0	0	0.04	0.05	0	0	0	0
10493	10493	VAT1	215.04	127.48	120.59	150.83	164.95	207.18	217.82	153.13	132.97	209.75	210.61	187.74	131.14	159.32	91.97	178.19	150.92	87.86	175.86	119.51	83.13	110.04	97.55	130.74	110.17	134.28	107.25	98.55	85.58	100.57	46.78	77.19
83715	83715	ESPN	0.22	0.7	0.5	1.12	0.81	0.7	0.32	5.66	0.94	0.48	0.39	0.57	0.38	0.29	0.4	0.45	0.66	0.23	0.1	0.1	0.17	0.27	0.17	0.32	0.09	0.12	0.21	0.5	0.18	0.09	0.04	0
84933	84933	C8orf76	21.97	15.24	23.11	17.35	17.97	22.77	18.28	24.23	26.17	16.8	24.3	20.79	28.32	17.9	34.6	20.32	17.93	26.78	31.02	19.22	21.68	34.4	22.62	27.36	23.13	20.82	22.92	34.97	25.89	18.8	54.7	50.03
10043	10043	TOM1	45.25	32.38	28.69	38.17	42.4	38.53	43.79	52.01	37.97	42.64	39	43.1	43.25	36.76	29.53	48.89	41.11	60.56	84.31	43.89	41.89	55.11	43.55	51.47	44.29	50.26	47.64	43.25	40.23	54.54	31.31	49.31
728524	728524	SPDYE8	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0.18	0.14	0	0.27	0	0	0	0	0.47	0	0	0	0	0	0	0	0	0	0
326625	326625	MMAB	24.97	16.81	48.64	25.03	16.1	26.22	23.56	20.38	42.18	25.1	21.05	24.67	24.55	21.75	62.43	24.97	18.37	23.34	27.78	21.01	15.72	44.52	18.86	28.52	26.05	19.59	23.53	48.5	21.99	24.1	68.55	41.03
23070	23070	CMTR1	27.57	28.2	15.04	23.87	20.65	23.55	26.16	27.38	16.62	23.91	22.52	32.02	20.34	19.92	8.53	24.94	25.37	27.48	24.55	32.27	23.42	18.54	25.95	24.97	23.66	34.18	32.72	16.91	22.85	37.25	11.45	12.28
815	815	CAMK2A	0.77	0.43	22.14	26	12.57	2.26	16.76	1.65	16.67	20.83	1.38	2.58	17.57	0.28	8.37	7.8	10.31	0.05	0.22	0.14	0.11	0.09	0.19	0.36	0.26	0.01	0.35	0.06	0.06	0.13	0.1	0.1
112268387	112268387	LOC112268387	0.57	0.29	0.11	0.79	0.65	0.67	0.31	0.62	0.51	0.68	0.2	0.27	0.38	0.26	0.23	0.46	0.53	0.38	0.24	0.25	0.36	0.12	0.22	0.36	0.26	0.19	0.34	0	0.59	0.22	0	0
51087	51087	YBX2	0.58	0.6	0.11	0.62	1	1.11	0.67	0.49	0.58	0.36	0.76	1.1	0.3	0.82	0.13	0.41	0.75	0.21	0.81	0.21	0.77	0.7	0.79	0.29	0.38	0.43	0.44	0.26	0.62	0.6	0	0
167	167	CRISP1	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57224	57224	NHSL1	0.28	0.17	0.15	0.27	0.62	0.25	0.12	0.42	0.2	0.49	0.48	0.07	0.05	0.23	0.07	0.14	0.09	0.13	0.03	0.2	0.4	0.16	0.51	0.23	0.18	0.09	0.6	0.13	0.2	0.11	0.08	0.04
55612	55612	FERMT1	0.02	0.04	0.18	0.07	0.05	0.09	0.04	0.19	0.28	0.11	0	0.19	0.02	0.1	0.03	0.13	0.19	3.3	3.06	2.69	0.01	1.47	0.86	1.85	3.09	0.05	3.95	0.94	0.05	2.71	3.83	2.29
55716	55716	LMBR1L	26.63	32.06	16.38	29.32	21.54	25.29	30.82	27.77	19.41	22.95	20.96	41.39	28.65	28.08	11.57	22.09	34.94	24	18.31	23.14	31.88	20.27	24.88	22.79	14.35	23.02	24.12	13.49	33.36	22.38	12.18	19.99
5933	5933	RBL1	1.73	3.05	1.02	1.84	2.22	2.16	2.23	2.48	1.12	2.09	2.25	2.49	2.27	1.7	0.93	1.51	2.25	0.99	1.03	1.75	1.54	1.31	1.4	1.94	1.18	1.87	2.07	0.85	2.09	1.59	0.62	0.88
26090	26090	ABHD12	53.34	54.54	66.54	47.07	28.28	53.51	52.77	34.74	78.55	51.87	48.51	53.68	71.77	62.42	43.23	59.98	61.8	62.65	56.79	41.31	48.13	71.89	69.66	44.85	62.93	50.24	52.35	66.61	47.72	35.57	76.12	86.09
9314	9314	KLF4	0.46	0.27	0.33	0.1	5.47	1.64	0.71	0.41	0.25	0.26	1.47	0.1	0.34	0.98	0.14	3.51	0.34	0.17	0.7	2.78	9.96	0.6	4.16	4.98	0.99	0.55	1.11	0.4	11.76	0.4	0.87	0.25
441457	441457	NUTM2G	0.46	0.21	0.08	0.19	0.84	1.53	0.86	0.38	0.37	0.31	0.19	0.34	0.4	0.85	0.28	0.94	0.38	0.52	0.43	0.07	0.44	0.2	0.45	0.03	0.67	0.46	0.51	0.23	0.65	0.14	0.13	0.02
8338	8338	H2AC20	0.42	0.5	0.57	0.74	1.17	0.91	1.03	0.82	0.86	0.41	2.03	1.34	0.6	1.06	1.75	0	0.87	5.31	2.74	2.94	3.88	1.97	1.44	2.44	1.82	2.75	2.12	2.95	7.68	1.34	4.79	10.42
63027	63027	SLC22A23	3.58	3.26	3.59	2.68	8.27	5.3	4.5	5.35	4.06	3.07	2.92	5.13	3.63	2.53	3.19	3.51	4.34	21.75	5.73	8.09	32.42	14.56	12.97	15.13	10.41	15.05	14.2	6.98	11.05	13.65	7.08	12.2
393	393	ARHGAP4	2.71	2.3	1.97	2.65	3.53	3.2	3.04	3.19	3.05	2	2.05	2.6	2.15	2.13	1.95	3.57	2.97	2.29	2.39	4.94	7.41	1.6	8.81	5.44	2.5	3.39	4.36	2.48	7.16	4.11	1.47	1.65
90135	90135	BTBD6	28.63	26.74	46.78	24.79	21.16	25.43	27.85	24.72	37.57	31.43	30.92	29.57	31.71	27.09	62.7	28.11	32.7	35.72	46.45	30.72	17.54	47.87	28.24	28.57	28.84	28.89	37.37	70.72	32.27	26.35	65.22	41.28
256380	256380	SCML4	1.17	1.53	0.7	1.69	1.55	1.85	2.75	3.11	0.29	1.3	0.63	2.88	1.81	0.67	0.2	0.47	3.3	3.71	3.93	3.51	4.66	1.42	1.35	3.85	2.58	4.26	2.8	1.41	4.27	2.83	1.23	2.23
658	658	BMPR1B	0.01	0.03	0	0	0	0.33	0	0	0	0	0.01	0.01	0	0.01	0	0.03	0	9.77	0	0	6.09	7.41	6.42	0.08	0	0	0.34	0.09	0.02	9.2	0.01	6.93
58190	58190	CTDSP1	8.12	16.92	8.02	9.81	11.15	11.35	10.35	7.95	11.16	8.11	9.63	20.59	9.41	17.42	8.39	13.58	16.95	14.95	18.64	14.58	22.86	11.65	20.18	16.64	11.44	13.01	12.92	8.24	24.5	10.37	7.64	9.61
255324	255324	EPGN	0.1	0.18	0.15	0	0.08	0.06	0	0.03	0.07	0.2	0.05	0.08	0	0.04	0	0.09	0.09	0.09	0.1	0.06	0.13	0.04	0.21	0.13	0	0.04	0.12	0.04	0.27	0.07	0.02	0
22847	22847	ZNF507	4.46	6.41	3.27	4.82	4.13	4.58	5.12	4.74	3.69	4.94	4.33	4.91	4.13	5.25	2.06	4.56	5.08	4.82	3.45	4.87	4.7	3.19	3.35	3.93	3.57	4.08	4.75	2.72	4.69	4.23	2.4	2.45
274	274	BIN1	25.91	57.1	60.64	52.1	19.35	39.16	61.6	44.06	49.2	49.96	33.26	57.05	75.91	56.36	38.57	68.96	40.88	50.08	37.25	31.77	40.37	31.67	30.95	32.17	31.34	34.9	44.12	25.76	42.93	38.04	26.05	34.97
107984351	107984351	LOC107984351	3.98	9.79	2.82	6.23	8.98	6.83	8.95	8.91	3.31	7.44	7.21	8.38	6.6	5.13	1.38	8.02	11.73	5.26	5.32	7.74	12.92	3.6	8.41	4.8	8.73	10.39	7.59	2.91	10.33	7.76	2.38	0.53
10463	10463	SLC30A9	53.04	38.17	49.97	39.08	40.11	37.49	39.37	47.26	38.51	45.86	39.03	36.83	35.44	33.02	33.51	32.66	39.17	43.97	36.89	56.55	41.93	54.55	42.33	40.61	46.62	58.1	54.33	56.51	42.17	64.27	49.7	41.47
1128	1128	CHRM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0
54821	54821	ERCC6L	0.25	0.36	0.2	0.23	0.41	0.18	0.24	0.19	0.25	0.12	0.19	0.23	0.24	0.24	0.3	0.11	0.25	0.34	0.39	0.32	0.38	0.34	0.26	0.2	0.59	0.24	0.23	0.23	0.35	0.11	0.24	0.38
9324	9324	HMGN3	119.89	143.64	411.11	232.85	66.27	166.66	127.88	124.01	388.25	208.1	127.05	108.48	273.18	149.23	362.89	197.3	195.58	189.02	183.93	100.95	79.75	140.89	114.37	183.15	120.59	103.62	137.72	217.7	101.95	100.18	304	242.61
7407	7407	VARS1	13.72	18.17	12.24	15.1	13.97	14.6	17.3	16.79	12.15	16.01	13.24	17.76	16.51	13.24	11.5	17.12	19.69	11.21	14.84	12.12	10.33	8.52	14.36	13.71	12.52	14.4	13.1	10.33	10.6	13.71	4.86	10.87
113444	113444	SMIM12	8.29	8.6	12.81	9.32	10.09	9.95	9.56	10.64	9.92	8.13	10.14	10.54	13.56	9.96	18.62	11.07	9.34	10.58	14.3	8.89	8.93	10.71	8.52	9.02	8.2	7.61	7.48	14.1	9.34	9.29	18.77	10.56
23676	23676	SMPX	0	0.14	0.07	0	0.07	0.08	0	0	0.13	0	0	0.28	0	0	0	0.27	0.07	0	0.13	0.14	0	0.19	0.07	0	0	0	0	1.1	0	0	0	0.07
8323	8323	FZD6	14.34	20.01	10.75	15.07	13.44	15.35	11.63	15.01	13.75	14.58	13.89	12.69	15.71	22.54	6.56	8.61	17.12	18.12	7.52	13.44	15.24	11.87	13.11	12.08	14.91	15.05	15.78	10.04	12.96	13.98	9.13	14.35
63898	63898	SH2D4A	1.78	3.85	5.44	0.8	0.77	1.64	0.62	0.92	3.29	1.45	1.56	0.74	4.25	3.55	1.53	1.38	1.66	0.05	0.02	0.06	0.04	0.31	0.18	0.17	0.1	0.18	0.16	0.07	0.08	0.04	0.02	0.02
8916	8916	HERC3	24.87	14.68	12.48	15.54	18.88	18.99	20.42	21.34	10.85	23.06	22.28	18.26	20.35	15.06	8.17	16.99	19.88	11.84	6.32	13.32	13.8	7.47	10	9.08	10.77	14.39	11.51	6.73	10.31	10.77	3.4	5.91
5586	5586	PKN2	25.24	22.17	13.12	26.4	33.87	23.37	24.8	25.58	15.03	23.7	25.8	20.7	22.04	22.84	10.7	15.92	23.54	21	12.38	21.38	23.86	16.68	19.17	19.68	21.03	23.26	21.59	13.2	27.66	20.34	11.97	14.86
6835	6835	SURF2	19.75	29.29	25.1	22.88	10.85	24.1	30.7	24.57	19.97	21.34	18.29	47.65	30	37.81	47.5	27.17	40.28	15.44	38.08	12.42	6.86	17.92	13.03	13.73	14.87	9.83	14.91	30.91	12.77	12.44	50.34	22.35
3965	3965	LGALS9	4.15	2.53	9.36	0.77	7.27	6.62	4.32	2.31	9.68	2.81	1.72	3.31	2.27	6.07	4.84	14.23	4.81	6.33	3.9	6.92	12.92	7.03	19.54	11.53	3.81	6.22	7.41	7.9	14.5	5	7.7	5.24
203447	203447	NRK	0.02	0.03	0	0.23	0.02	2.11	3.54	0.39	0.23	0.53	0.01	0	2.15	0	0.03	1.31	0.52	0	0	0	0	0.64	0.01	0.38	0.01	0.01	0	0.01	0.01	0	0	0
55793	55793	MINDY1	15.85	24.58	14.25	15.32	15.61	15.79	17.62	19.09	14.3	13.86	17.62	24.13	17.98	16.02	8.51	15.52	15.7	9.23	14.23	13.88	12.78	11.52	9.7	9.67	9.74	13.92	12.7	9.89	12.83	13.56	8.26	10.67
222008	222008	VSTM2A	0.02	0.03	0	0.02	0.04	0.02	0.03	0.05	0.03	0.05	0.02	0.04	0.04	0.04	0	0.02	0.08	0.02	0.01	0.07	0.07	0.04	0.06	0.03	0.01	0.04	0.04	0.01	0.04	0.05	0.02	0.04
6019	6019	RLN2	7.87	1.71	14.21	6.22	9.1	7.42	4.14	7.75	14.41	5.21	5.17	3.45	10.09	4.88	20.81	4.57	7.81	3.28	4.54	3.2	1.33	5.54	1.34	1.9	2.88	2.8	3.25	7.21	3.89	4.04	9.75	6.6
11027	11027	LILRA2	0.55	0.72	1.54	0.57	1.72	0.84	0.81	0.8	0.79	0.64	0.42	0.83	0.41	0.68	0.52	0.93	0.97	0.43	0.61	1.8	5.59	0.64	4.66	1.77	0.58	0.9	0.95	0.95	6.66	1.01	1.33	0.18
22794	22794	CASC3	47.23	47.73	22.5	43.32	41.85	39.92	41.32	46.64	22.32	40.05	40.57	49.09	34.17	40.37	14.93	36.71	39.33	35.41	39.37	47.89	38.08	33.89	41.36	44.76	41.23	48.56	46.83	24.15	43.05	51.13	13.7	21.54
53	53	ACP2	16.34	12.72	26.24	28.03	15.26	13.48	22.77	18.39	23.15	14.38	11.64	26.51	29.62	22.56	17.61	22.65	24.53	15.44	57.11	35.83	15.07	25.11	33.71	28.64	36.43	31.07	30.64	31.45	43.69	31.3	27.68	12.31
388610	388610	TRNP1	55.87	19.82	25.15	43.16	13.33	70.19	52.74	53.72	53.81	54.64	76.24	39.81	51.39	41.88	37.78	49.97	55.28	33.71	32.81	18.23	61.65	32.22	23.71	19.3	26.44	12	12.69	7.7	25.53	24.95	25.9	31.04
2925	2925	GRPR	0	0	0.33	0.02	0.1	0	0	0.02	0.07	0	0	0.05	0	0	0.06	0	0.02	0.02	0	0.05	0.03	0.02	0.02	0	0	0.02	0	0	0.03	0.02	0.05	0
79366	79366	HMGN5	18.24	3.51	2.45	3.89	9.32	24.72	12.68	27.26	4.73	11.64	6.93	3.72	4.67	2.95	2.83	3.93	6.13	3.21	4.77	5.82	4.97	8.08	2.27	8.8	4.67	11.04	5.76	5.06	11.49	10.37	2.26	4.86
5591	5591	PRKDC	10.79	10.62	8.42	10.6	8.95	9.39	10.36	10.29	6.96	10.75	8.76	12.44	7.97	7.87	5.42	10.05	10.75	6.54	7	9.38	7.6	6.08	8.76	7.76	9.19	9.98	9.63	5.14	7.52	10.69	2.33	4.61
5905	5905	RANGAP1	24.74	26.88	14.61	34.84	13.78	30.93	37.05	31.04	16.86	33.27	29.92	35.15	28.14	21.62	10.43	36.3	29.11	16.3	32.5	21.88	14.81	12.35	22.66	16.77	19.87	13.43	18.54	10.65	15.26	19.52	7.99	9.15
387597	387597	ILDR2	0.12	0.09	0.36	0.14	0.78	0.36	0.07	1.27	0.34	0.18	0.14	0.14	0.11	0.07	0.46	0.33	0.13	9.89	9.7	11.96	14.41	7.2	8.36	9.1	10.58	9.23	10.66	13.89	12.19	16.63	5.71	6.14
8526	8526	DGKE	6.49	9.26	5.88	6.25	6.92	8.32	7.58	6.76	4.32	8.43	7.78	8.19	7.64	6.15	4.42	8.42	7.8	6.44	8.1	8.88	22.02	8.57	10.45	8.37	12.11	8.51	8.85	6.78	7.43	9.3	4.52	4.82
51663	51663	ZFR	34.64	32.99	26.16	35.34	35.28	29.74	30.31	37.18	24.85	32.38	32.56	30	28.55	31.55	16.07	19.28	29.96	26.24	18.13	30.95	27.59	25.61	22.88	26.09	30	29.47	31.74	20.59	27.72	32.22	16.43	19.92
51073	51073	MRPL4	31.71	27.28	36.46	28.49	23.17	35.33	34.8	31.67	37.18	31.95	28.97	31.05	46.17	35.3	66.78	37.68	35.1	35.53	39.72	18.08	14.33	22.49	21.96	28.98	27.17	19.86	18.8	29.1	18.5	17.08	38.25	34.23
